Att,Disp,Min_BER,MAX_Q_FACTOR
0.1,12.75,0,0.6122955
0.1,12.95,0,0.5900702
0.1,13.15,0,0.582605
0.1,13.35,0,0.5710041
0.1,13.55,0,0.5702887
0.1,13.75,0,0.567289
0.1,13.95,0,0.5451066
0.1,14.15,0,0.5373748
0.1,14.35,0,0.5282633
0.1,14.55,0,0.5228658
0.1,14.75,0,0.5156991
0.1,14.95,0,0.4959017
0.1,15.15,0,0.4925162
0.1,15.35,0.000001,0.4823521
0.1,15.55,0.000001,0.4776318
0.1,15.75,0.000001,0.4690284
0.1,15.95,0.000002,0.4567883
0.1,16.15,0.000004,0.4436125
0.1,16.35,0.000005,0.4408087
0.1,16.55,0.000006,0.4371788
0.1,16.75,0.00001,0.4243639
0.1,16.95,0.000018,0.4119665
0.1,17.15,0.000023,0.4064984
0.1,17.35,0.000019,0.4104368
0.1,17.55,0.000027,0.4026506
0.1,17.65,0.000034,0.3969372
0.11,12.75,0,0.6108253
0.11,12.95,0,0.5863446
0.11,13.15,0,0.5796838
0.11,13.35,0,0.567216
0.11,13.55,0,0.568467
0.11,13.75,0,0.5663055
0.11,13.95,0,0.5421556
0.11,14.15,0,0.5349432
0.11,14.35,0,0.5258741
0.11,14.55,0,0.5214462
0.11,14.75,0,0.514875
0.11,14.95,0,0.4928818
0.11,15.15,0,0.4904779
0.11,15.35,0.000001,0.4801025
0.11,15.55,0.000001,0.476586
0.11,15.75,0.000001,0.4678597
0.11,15.95,0.000003,0.4548042
0.11,16.15,0.000005,0.4409872
0.11,16.35,0.000005,0.4387988
0.11,16.55,0.000006,0.4364462
0.11,16.75,0.000011,0.4225004
0.11,16.95,0.00002,0.4091767
0.11,17.15,0.000025,0.4040673
0.11,17.35,0.00002,0.4098551
0.11,17.55,0.000028,0.4021044
0.11,17.65,0.000036,0.3957997
0.12,12.75,0,0.608795
0.12,12.95,0,0.5816944
0.12,13.15,0,0.5760721
0.12,13.35,0,0.5624551
0.12,13.55,0,0.5661712
0.12,13.75,0,0.5648492
0.12,13.95,0,0.5384372
0.12,14.15,0,0.5319467
0.12,14.35,0,0.5228454
0.12,14.55,0,0.5196942
0.12,14.75,0,0.5138141
0.12,14.95,0,0.4891787
0.12,15.15,0.000001,0.487959
0.12,15.35,0.000001,0.4773047
0.12,15.55,0.000001,0.4753044
0.12,15.75,0.000001,0.4663721
0.12,15.95,0.000003,0.4523443
0.12,16.15,0.000006,0.4378514
0.12,16.35,0.000006,0.4363131
0.12,16.55,0.000006,0.4356071
0.12,16.75,0.000012,0.4202527
0.12,16.95,0.000024,0.4058357
0.12,17.15,0.000029,0.4011827
0.12,17.35,0.00002,0.4091076
0.12,17.55,0.000028,0.4014886
0.12,17.65,0.000038,0.3944485
0.13,12.75,0,0.6058634
0.13,12.95,0,0.57572
0.13,13.15,0,0.571481
0.13,13.35,0,0.5563627
0.13,13.55,0,0.5631526
0.13,13.75,0,0.56261
0.13,13.95,0,0.5336807
0.13,14.15,0,0.528169
0.13,14.35,0,0.5188738
0.13,14.55,0,0.5173907
0.13,14.75,0,0.512309
0.13,14.95,0.000001,0.4845364
0.13,15.15,0.000001,0.4847648
0.13,15.35,0.000001,0.4737356
0.13,15.55,0.000001,0.4736549
0.13,15.75,0.000002,0.4643797
0.13,15.95,0.000003,0.4492131
0.13,16.15,0.000007,0.4340276
0.13,16.35,0.000007,0.4331384
0.13,16.55,0.000007,0.4345283
0.13,16.75,0.000014,0.4174665
0.13,16.95,0.000028,0.4018052
0.13,17.15,0.000033,0.397708
0.13,17.35,0.000021,0.4080666
0.13,17.55,0.000029,0.4007177
0.13,17.65,0.000041,0.3927643
0.14,12.75,0,0.6017997
0.14,12.95,0,0.5679596
0.14,13.15,0,0.5655401
0.14,13.35,0,0.548554
0.14,13.55,0,0.5591309
0.14,13.75,0,0.5591457
0.14,13.95,0,0.5274435
0.14,14.15,0,0.5232837
0.14,14.35,0,0.5135766
0.14,14.55,0,0.5143038
0.14,14.75,0,0.5101164
0.14,14.95,0.000001,0.4786623
0.14,15.15,0.000001,0.4806364
0.14,15.35,0.000001,0.4691036
0.14,15.55,0.000001,0.4714345
0.14,15.75,0.000002,0.4616235
0.14,15.95,0.000004,0.4451396
0.14,16.15,0.000008,0.4292814
0.14,16.35,0.000008,0.4290065
0.14,16.55,0.000007,0.4330855
0.14,16.75,0.000017,0.4139425
0.14,16.95,0.000035,0.3968804
0.14,17.15,0.000039,0.393462
0.14,17.35,0.000023,0.4065518
0.14,17.55,0.000031,0.3996822
0.14,17.65,0.000045,0.3905941
0.15,12.75,0,0.595933
0.15,12.95,0,0.5578451
0.15,13.15,0,0.5577405
0.15,13.35,0,0.5384932
0.15,13.55,0,0.5539935
0.15,13.75,0,0.5538576
0.15,13.95,0,0.519245
0.15,14.15,0,0.5169105
0.15,14.35,0,0.5064683
0.15,14.55,0,0.5100919
0.15,14.75,0,0.5068605
0.15,14.95,0.000001,0.4711599
0.15,15.15,0.000001,0.4752137
0.15,15.35,0.000002,0.463018
0.15,15.55,0.000001,0.4683582
0.15,15.75,0.000002,0.4577542
0.15,15.95,0.000005,0.4398001
0.15,16.15,0.000011,0.4233534
0.15,16.35,0.000011,0.4235923
0.15,16.55,0.000008,0.4310683
0.15,16.75,0.00002,0.4094132
0.15,16.95,0.000045,0.3908119
0.15,17.15,0.000049,0.3882101
0.15,17.35,0.000025,0.404305
0.15,17.55,0.000033,0.3982138
0.15,17.65,0.00005,0.3877243
0.16,12.75,0,0.5873906
0.16,12.95,0,0.5447029
0.16,13.15,0,0.5474849
0.16,13.35,0,0.5254721
0.16,13.55,0,0.5468177
0.16,13.75,0,0.5459969
0.16,13.95,0,0.5084675
0.16,14.15,0,0.5085288
0.16,14.35,0,0.4969382
0.16,14.55,0,0.5043131
0.16,14.75,0,0.5020398
0.16,14.95,0.000002,0.4615806
0.16,15.15,0.000001,0.4680824
0.16,15.35,0.000003,0.4550126
0.16,15.55,0.000002,0.4640551
0.16,15.75,0.000003,0.4523194
0.16,15.95,0.000007,0.4327915
0.16,16.15,0.000015,0.4159044
0.16,16.35,0.000015,0.4164544
0.16,16.55,0.000009,0.4281889
0.16,16.75,0.000026,0.4035543
0.16,16.95,0.000061,0.3833227
0.16,17.15,0.000064,0.381687
0.16,17.35,0.000029,0.4009704
0.16,17.55,0.000036,0.3960768
0.16,17.65,0.000059,0.3838757
0.17,12.75,0,0.5752587
0.17,12.95,0,0.5278214
0.17,13.15,0,0.5340735
0.17,13.35,0,0.5088619
0.17,13.55,0,0.536882
0.17,13.75,0,0.5347063
0.17,13.95,0,0.4944946
0.17,14.15,0,0.4975938
0.17,14.35,0.000001,0.4848111
0.17,14.55,0,0.4964352
0.17,14.75,0,0.4950031
0.17,14.95,0.000003,0.4494269
0.17,15.15,0.000002,0.4587184
0.17,15.35,0.000004,0.4445339
0.17,15.55,0.000002,0.4580344
0.17,15.75,0.000004,0.4447534
0.17,15.95,0.000011,0.4236459
0.17,16.15,0.000023,0.4065469
0.17,16.35,0.000022,0.4071222
0.17,16.55,0.00001,0.4240772
0.17,16.75,0.000036,0.3959778
0.17,16.95,0.000089,0.3741051
0.17,17.15,0.000089,0.373584
0.17,17.35,0.000036,0.3961019
0.17,17.55,0.000041,0.3929549
0.17,17.65,0.000073,0.3788079
0.18,12.75,0,0.5585521
0.18,12.95,0,0.5065999
0.18,13.15,0,0.5167959
0.18,13.35,0.000001,0.488143
0.18,13.55,0,0.5233717
